index,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
589,Hydrogen/Tritium Materials Scientist (Experienced),$138K-$158K (Glassdoor est.),3.8,"Sandia National Laboratories
3.8","Livermore, CA","Albuquerque, NM",10000+ employees,1949,Government,Federal Agencies,Government,$2 to $5 billion (USD),"Los Alamos National Laboratory, Lawrence Livermore National Laboratory"
590,Data Engineer,$138K-$158K (Glassdoor est.),3.5,"Maxar Technologies
3.5","McLean, VA","Westminster, CO",5001 to 10000 employees,-1,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1
591,Patient Safety- Associate Data Scientist,$80K-$132K (Glassdoor est.),4.0,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
592,Senior Data Scientist,$80K-$132K (Glassdoor est.),4.0,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1
593,Data Scientist,$80K-$132K (Glassdoor est.),3.4,"USI
3.4","Southfield, MI","Saint Paul, MN",1001 to 5000 employees,1998,Company - Private,Construction,"Construction, Repair & Maintenance",$100 to $500 million (USD),-1
594,Data Scientist,$80K-$132K (Glassdoor est.),3.9,"GSK
3.9","Collegeville, PA","Brentford, United Kingdom",10000+ employees,1830,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Pfizer, AstraZeneca, Merck"
595,Data Scientist,$80K-$132K (Glassdoor est.),3.8,"CIA
3.8","Washington, DC","Langley, VA",Unknown,1947,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
596,Data Scientist,$80K-$132K (Glassdoor est.),4.5,"Maven Wave Partners
4.5","Chicago, IL","Chicago, IL",201 to 500 employees,2008,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
597,Data Scientist,$80K-$132K (Glassdoor est.),4.3,"Ovative Group
4.3","Minneapolis, MN","Minneapolis, MN",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),-1
598,Data Scientist,$80K-$132K (Glassdoor est.),3.6,"Kognetics
3.6","Gahanna, OH","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
599,Data Scientist,$80K-$132K (Glassdoor est.),2.9,"Envision Healthcare
2.9","Nashville, TN","Nashville, TN",10000+ employees,2005,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
600,Data Scientist,$80K-$132K (Glassdoor est.),2.9,"Pragmatics, Inc.
2.9",United States,"Reston, VA",201 to 500 employees,1985,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
601,Data Scientist,$80K-$132K (Glassdoor est.),3.2,"ConsumerTrack
3.2",California,"Los Angeles, CA",51 to 200 employees,2004,Company - Private,Internet,Information Technology,$25 to $50 million (USD),-1
602,Decision Scientist,$80K-$132K (Glassdoor est.),4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman"
603,Data Scientist - TS/SCI FSP or CI Required,$80K-$132K (Glassdoor est.),5.0,"Phoenix Operations Group
5.0","Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1
604,Data Scientist,$80K-$132K (Glassdoor est.),3.5,"Crossover Health
3.5","San Clemente, CA","Aliso Viejo, CA",1 to 50 employees,2010,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1
605,Data Scientist,$80K-$132K (Glassdoor est.),4.0,"Lorven Technologies Inc
4.0","New York, NY","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1
606,Data Scientist,$80K-$132K (Glassdoor est.),4.4,"Meridian Knowledge Solutions
4.4","Washington, DC","Reston, VA",51 to 200 employees,1997,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
607,Data Scientist,$80K-$132K (Glassdoor est.),4.2,"UST Global
4.2","Atlanta, GA","Aliso Viejo, CA",10000+ employees,1999,Company - Private,IT Services,Information Technology,$1 to $2 billion (USD),"Cognizant Technology Solutions, Infosys, Wipro"
608,Data Scientist,$80K-$132K (Glassdoor est.),3.2,"IMG Systems
3.2","Plano, TX","Plano, TX",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1
609,Data Scientist,$80K-$132K (Glassdoor est.),3.4,"Trident Systems Inc
3.4","Fairfax, VA","Fairfax, VA",51 to 200 employees,1985,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $50 million (USD),-1
610,Data Scientist,$80K-$132K (Glassdoor est.),4.7,"Tygart Technology, Inc
4.7","Washington, DC","Fairmont, WV",1 to 50 employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1
611,(Sr.) Data Scientist -,$87K-$141K (Glassdoor est.),3.6,"Merrick Bank
3.6",Utah,"South Jordan, UT",201 to 500 employees,1997,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
612,Senior Data Scientist,$87K-$141K (Glassdoor est.),4.2,"ManTech
4.2","Alexandria, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
613,Data Scientist,$87K-$141K (Glassdoor est.),-1.0,"GrainBridge, LLC","Omaha, NE",-1,-1,-1,-1,-1,-1,-1,-1
614,Data Scientist,$87K-$141K (Glassdoor est.),3.2,"First Health Group
3.2","Wellesley, MA","Bethesda, MD",10000+ employees,1853,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Humana
615,Data Scientist,$87K-$141K (Glassdoor est.),-1.0,Sprezzatura Management Consulting,"Washington, VA","McLean, VA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
616,Data Scientist,$87K-$141K (Glassdoor est.),2.8,"Progress Rail, A Caterpillar Company
2.8","Fort Worth, TX","Albertville, AL",1001 to 5000 employees,1983,Subsidiary or Business Segment,Rail,Transportation & Logistics,$2 to $5 billion (USD),-1
617,Data Scientist,$87K-$141K (Glassdoor est.),4.2,"UST Global
4.2","Atlanta, GA","Aliso Viejo, CA",10000+ employees,1999,Company - Private,IT Services,Information Technology,$1 to $2 billion (USD),"Cognizant Technology Solutions, Infosys, Wipro"
618,Data Scientist,$87K-$141K (Glassdoor est.),4.5,"Axiologic Solutions
4.5","Alexandria, VA","Fairfax, VA",51 to 200 employees,2009,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1
619,Data Scientist,$87K-$141K (Glassdoor est.),3.0,"Indigo Slate
3.0","Bellevue, WA","Bellevue, WA",51 to 200 employees,2006,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1
620,Data Scientist,$87K-$141K (Glassdoor est.),3.3,"Cubic
3.3",United States,"San Diego, CA",5001 to 10000 employees,1951,Company - Public,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"Accenture, Northrop Grumman, Xerox"
621,Data Scientist,$87K-$141K (Glassdoor est.),4.0,"Advanced Bio-Logic Solutions Corp
4.0","Thousand Oaks, CA","Westlake Village, CA",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
622,Data Engineer,$87K-$141K (Glassdoor est.),3.5,"Alignment Healthcare
3.5","Orange, CA","Orange, CA",501 to 1000 employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
623,Data Scientist,$87K-$141K (Glassdoor est.),3.5,"WGSN
3.5","Baltimore, MD","New York, NY",1 to 50 employees,1998,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
624,Data Scientist,$87K-$141K (Glassdoor est.),3.6,"ISYS Technologies, Inc.
3.6","Herndon, VA","Littleton, CO",51 to 200 employees,1990,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1
625,Data Scientist,$87K-$141K (Glassdoor est.),3.0,"TransVoyant
3.0","Alexandria, VA","Alexandria, VA",51 to 200 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
626,Data Scientist/Data Analytics Practitioner,$87K-$141K (Glassdoor est.),4.0,"Noblis
4.0","Bridgeport, WV","Reston, VA",1001 to 5000 employees,1996,Nonprofit Organization,Consulting,Business Services,$100 to $500 million (USD),"Booz Allen Hamilton, SAIC, LMI"
627,Data Scientist,$87K-$141K (Glassdoor est.),4.6,"Murray Resources
4.6","The Woodlands, TX","Houston, TX",1 to 50 employees,1988,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1
628,Data Scientist,$87K-$141K (Glassdoor est.),4.3,"Geotab
4.3","Oakville, CA","Oakville, Canada",1001 to 5000 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
629,Data Scientist,$87K-$141K (Glassdoor est.),4.7,"CRS Group
4.7","Chicago, IL","Itasca, IL",51 to 200 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1
630,Data Scientist,$87K-$141K (Glassdoor est.),3.7,"EGlobalTech
3.7","Arlington, VA","Vienna, VA",201 to 500 employees,2004,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
631,"Data Scientist, Kinship - NYC/Portland",$92K-$155K (Glassdoor est.),3.9,"Mars
3.9","New York, NY","Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1
632,Data Scientist,$92K-$155K (Glassdoor est.),4.9,"Avlino
4.9",New Jersey,"Holmdel, NJ",1 to 50 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),-1
633,Data Scientist,$92K-$155K (Glassdoor est.),3.0,"Central Business Solutions, Inc
3.0","Seattle, WA","Fremont, CA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1
634,Data Scientist,$92K-$155K (Glassdoor est.),2.5,"KeHE Distributors
2.5","Naperville, IL","Naperville, IL",5001 to 10000 employees,1954,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,"United Natural Foods, US Foods, DPI Specialty Foods"
635,Data Scientist,$92K-$155K (Glassdoor est.),3.5,"Blackstone Talent Group
3.5","San Francisco, CA","San Francisco, CA",51 to 200 employees,1998,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1
636,Data Scientist - TS/SCI Required,$92K-$155K (Glassdoor est.),5.0,"Phoenix Operations Group
5.0","Baltimore, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1
637,Data Scientist,$92K-$155K (Glassdoor est.),-1.0,Sophinea,"Chantilly, VA",-1,1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
638,Senior Data Scientist,$92K-$155K (Glassdoor est.),3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,-1,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1
639,Data Scientist,$92K-$155K (Glassdoor est.),3.0,"Moxie Software
3.0","Bellevue, WA","San Bruno, CA",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"LivePerson, Salesforce, SAP"
640,Data Scientist(s)/Machine Learning Engineer,$92K-$155K (Glassdoor est.),5.0,"Blue Horizon Tek Solutions
5.0","New York, NY","Coconut Creek, FL",1 to 50 employees,1987,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
641,Data Scientist,$92K-$155K (Glassdoor est.),4.7,"Unicom Technologies INC
4.7","Chicago, IL","Naperville, IL",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
642,Data Engineer,$92K-$155K (Glassdoor est.),3.3,"Americo Life
3.3","Kansas City, MO","Kansas City, MO",201 to 500 employees,1992,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1
643,Data Scientist,$92K-$155K (Glassdoor est.),3.3,"Tokio Marine HCC
3.3","Houston, TX","Houston, TX",1001 to 5000 employees,1974,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Zurich Insurance, AXA XL, Allianz"
644,Data Scientist,$92K-$155K (Glassdoor est.),3.5,"CACI International
3.5","Chantilly, VA","Arlington, VA",10000+ employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),"CSC, ManTech, SAIC"
645,"AI/ML - Machine Learning Scientist, Siri Understanding",$92K-$155K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA","Cupertino, CA",10000+ employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Google, Microsoft, Samsung Electronics"
646,Data Scientist,$92K-$155K (Glassdoor est.),3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,-1,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1
647,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,$92K-$155K (Glassdoor est.),3.9,"Southwest Research Institute
3.9","Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International"
648,Data Scientist,$92K-$155K (Glassdoor est.),4.7,"Compass Consulting Group
4.7","Thousand Oaks, CA","Danville, CA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
649,Data Science Software Engineer,$92K-$155K (Glassdoor est.),4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
650,"Scientist / Group Lead, Cancer Biology",$92K-$155K (Glassdoor est.),-1.0,Monte Rosa Therapeutics,"Cambridge, MA",-1,-1,-1,-1,-1,-1,-1,-1
651,AI Ops Data Scientist,$92K-$155K (Glassdoor est.),4.0,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
652,Senior Data Scientist,$105K-$167K (Glassdoor est.),3.8,"GutCheck
3.8","Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey"
653,Sr. ML/Data Scientist - AI/NLP/Chatbot,$105K-$167K (Glassdoor est.),3.8,"Juniper Networks
3.8","Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1
654,Data Scientist,$105K-$167K (Glassdoor est.),2.7,"Hexagon US Federal
2.7","Lexington Park, MD","Chantilly, VA",51 to 200 employees,2010,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1
655,Data Scientist,$105K-$167K (Glassdoor est.),4.0,"Comtech Global Inc
4.0","Washington, DC","Columbus, OH",51 to 200 employees,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million (USD),-1
656,Data Scientist,$105K-$167K (Glassdoor est.),-1.0,Berico Technologies,"Fort Belvoir, VA",-1,-1,-1,-1,-1,-1,-1,-1
657,Data Scientist,$105K-$167K (Glassdoor est.),-1.0,Kehe Food Distributors,"Naperville, IL",-1,-1,-1,-1,-1,-1,-1,-1
658,Data Scientist,$105K-$167K (Glassdoor est.),3.8,"Aveshka, Inc.
3.8","Washington, DC","Arlington, VA",51 to 200 employees,2010,Company - Public,IT Services,Information Technology,$10 to $25 million (USD),-1
659,Data Scientist,$105K-$167K (Glassdoor est.),3.2,"Perspecta
3.2","Adelphi, MD","Chantilly, VA",10000+ employees,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1
660,Data Scientist,$105K-$167K (Glassdoor est.),-1.0,Pactera Edge,"Redmond, WA",-1,-1,-1,-1,-1,-1,-1,-1
661,Data Scientist,$105K-$167K (Glassdoor est.),3.6,"Qurate Retail Group
3.6","West Chester, PA","West Chester, PA",10000+ employees,-1,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable,-1
662,Data Scientist,$105K-$167K (Glassdoor est.),4.4,"SolutionIT, Inc.
4.4","Edison, NJ","Wilmington, MA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
663,Data Scientist,$105K-$167K (Glassdoor est.),4.1,"A-Line Staffing Solutions
4.1","Durham, NC","Utica, MI",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
664,Data Scientist,$105K-$167K (Glassdoor est.),-1.0,Clear Ridge Defense,"Quantico, VA","Baltimore, MD",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
665,Data Scientist,$105K-$167K (Glassdoor est.),3.8,"Criterion Systems, Inc.
3.8","Vienna, VA","Vienna, VA",201 to 500 employees,2005,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1
666,Data Scientist,$105K-$167K (Glassdoor est.),4.0,"Foundation Medicine
4.0","Boston, MA","Cambridge, MA",1001 to 5000 employees,2010,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Genomic Health, Myriad Genetics, The Broad Institute"
667,Data Scientist,$105K-$167K (Glassdoor est.),3.6,"TRANZACT
3.6","Fort Lee, NJ","Fort Lee, NJ",1001 to 5000 employees,1989,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
668,Data Scientist,$105K-$167K (Glassdoor est.),-1.0,JKGT,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
669,Data Scientist,$105K-$167K (Glassdoor est.),-1.0,AccessHope,"Irwindale, CA",-1,-1,-1,-1,-1,-1,-1,-1
670,Data Scientist,$105K-$167K (Glassdoor est.),5.0,"ChaTeck Incorporated
5.0","San Francisco, CA","Santa Clara, CA",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1
671,Data Scientist,$105K-$167K (Glassdoor est.),2.7,"1-800-Flowers
2.7","New York, NY","Carle Place, NY",1001 to 5000 employees,1976,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD),-1
